@400000005e4b95a11a4dc3a0 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e4b95a2089f561c #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e4b97202146825f #d,-,18,3776,2368,1654,352,2,240109,14886,3776,2369,1666,3776,2366,1629,95,99,0,501,3953;
@400000005e4b9720214ffc78 #d,-,18,3776,2366,1654,353,2,240192,14891,3776,2368,1667,3776,2365,1634,95,99,0,501,3957;
@400000005e4b9722215fd284 #d,-,18,3776,2366,1653,354,2,240335,14900,3776,2368,1660,3776,2365,1629,95,99,0,501,3948;
@400000005e4b972221694529 #d,-,18,3775,2367,1652,355,2,240353,14901,3776,2369,1670,3775,2366,1623,95,99,0,501,3950;
@400000005e4b97242178b96b #d,-,18,3776,2368,1652,356,2,240432,14906,3776,2368,1657,3775,2366,1636,95,99,0,501,3946;
@400000005e4b972421822c10 #d,-,18,3775,2368,1653,357,2,240512,14911,3776,2368,1656,3775,2366,1646,95,99,0,501,3950;
@400000005e4b972621919525 #d,-,18,3775,2369,1652,358,2,240590,14916,3775,2369,1657,3775,2366,1638,95,99,0,501,3950;
@400000005e4b9726219afbaf #d,-,18,3773,2366,1644,359,2,240729,14925,3775,2369,1664,3773,2366,1618,95,99,0,501,3946;
@400000005e4b972821aace01 #d,-,18,3773,2367,1660,361,2,240744,14926,3773,2369,1669,3773,2366,1619,95,99,0,501,3934;
@400000005e4b972821b430d1 #d,-,18,3773,2367,1652,362,2,240824,14931,3773,2368,1662,3773,2366,1646,95,99,0,501,3957;
@400000005e4b972a21c3a15a #d,-,18,3775,2368,1658,363,2,240901,14935,3775,2369,1660,3773,2367,1628,95,99,0,501,3960;
@400000005e4b972a21cd561e #d,-,18,3774,2368,1649,364,2,240979,14940,3775,2368,1669,3774,2366,1623,95,99,0,501,3948;
@400000005e4b972c21dd4bd5 #d,-,18,3774,2367,1656,365,2,241054,14945,3774,2369,1669,3774,2367,1625,95,99,0,501,3946;
@400000005e4b972c21e6c145 #d,-,18,3774,2366,1652,366,2,241133,14950,3774,2369,1665,3774,2366,1641,95,99,0,501,3953;
@400000005e4b972e21f674dc #d,-,18,3775,2366,1654,367,2,241207,14954,3775,2369,1658,3774,2366,1623,95,99,0,501,3955;
@400000005e4b972e21ffc41d #d,-,18,3775,2367,1653,368,2,241285,14959,3775,2369,1671,3775,2366,1643,95,99,0,501,3950;
@400000005e4b9730220ea44a #d,-,18,3776,2366,1657,369,2,241360,14964,3776,2368,1662,3775,2366,1634,95,99,0,501,3955;
@400000005e4b973022188b5a #d,-,18,3776,2365,1655,370,2,241437,14969,3776,2368,1666,3776,2364,1643,95,99,0,501,3955;
@400000005e4b97322228a91c #d,-,18,3776,2366,1658,371,2,241511,14973,3776,2367,1666,3776,2364,1632,95,99,0,501,3948;
@400000005e4b97322231fb28 #d,-,18,3775,2366,1652,372,2,241586,14978,3776,2366,1669,3775,2364,1627,95,99,0,501,3957;
@400000005e4b973422411aaa #d,-,18,3777,2365,1664,373,2,241662,14983,3777,2366,1674,3775,2363,1634,95,99,0,501,3950;
@400000005e4b9734224a6543 #d,-,18,3779,2364,1648,374,2,241739,14987,3779,2365,1668,3777,2364,1648,95,99,0,501,3969;
@400000005e4b97362259368a #d,-,18,3777,2365,1636,375,2,241799,14991,3779,2366,1687,3777,2364,1554,96,99,0,501,3931;
@400000005e4b97362262a841 #d,-,18,3773,2366,1661,376,2,241878,14996,3777,2368,1707,3773,2365,1622,95,99,0,501,3941;
@400000005e4b9738227234ba #d,-,18,3775,2365,1643,377,2,242010,15004,3775,2367,1672,3773,2365,1629,95,99,0,501,3950;
@400000005e4b9738227ba2b7 #d,-,18,3777,2366,1667,378,2,242086,15009,3777,2367,1676,3775,2364,1635,95,99,0,501,3969;
@400000005e4b973a228aa648 #d,-,18,3777,2367,1639,379,2,242097,15010,3777,2367,1675,3777,2365,1628,95,99,0,501,3950;
@400000005e4b973a2294400b #d,-,18,3779,2367,1672,380,2,242173,15014,3779,2367,1677,3777,2365,1633,95,99,0,501,3972;
@400000005e4b973c22a3e3cc #d,-,18,3778,2368,1634,382,2,242243,15019,3779,2368,1675,3778,2365,1629,95,99,0,501,3953;
@400000005e4b973c22ad51c9 #d,-,18,3781,2367,1670,383,2,242318,15023,3781,2368,1672,3778,2366,1634,95,99,0,501,3967;
@400000005e4b973e22bca750 #d,-,18,3780,2367,1637,384,2,242447,15031,3781,2367,1671,3780,2365,1635,95,99,0,501,3953;
@400000005e4b973e22c5bf9e #d,-,18,3782,2367,1672,385,2,242461,15032,3782,2367,1674,3780,2365,1636,95,99,0,501,3969;
@400000005e4b974022d49c12 #d,-,18,3781,2368,1374,386,2,242512,15035,3782,2368,1673,3781,2366,1374,95,99,0,501,3953;
@400000005e4b974022de029c #d,-,18,3100,2369,1201,386,2,242366,15026,3781,2370,1374,3100,2368,1057,90,99,0,501,3419;
@400000005e4b974222edd4ee #d,-,18,2597,2367,1185,387,2,242232,15018,3100,2370,1201,2597,2367,1184,90,99,0,501,2872;
@400000005e4b974222f72076 #d,-,18,2596,2368,1177,388,2,242152,15013,2597,2369,1186,2596,2367,1176,91,99,0,501,2851;
@400000005e4b974423065740 #d,-,18,2592,2367,1179,389,2,241955,15001,2596,2369,1182,2592,2367,1176,91,99,0,501,2834;
@400000005e4b9744230f7e75 #d,-,18,2590,2367,1171,389,2,241816,14992,2592,2369,1180,2590,2366,1171,91,99,0,501,2832;
@400000005e4b9746231eb186 #d,-,18,2585,2366,1176,390,2,241677,14984,2590,2368,1178,2585,2366,1170,91,99,0,501,2822;
@400000005e4b974623280392 #d,-,18,2582,2366,1166,391,2,241538,14975,2585,2368,1178,2582,2366,1166,91,99,0,501,2822;
@400000005e4b974823378c52 #d,-,18,2521,2366,1151,391,2,241446,14969,2582,2368,1166,2521,2366,1143,90,99,0,501,2791;
@400000005e4b97482340bbe9 #d,-,18,2517,2367,1152,392,2,241241,14956,2521,2368,1154,2517,2366,1150,91,99,0,501,2765;
@400000005e4b974a234fcf4f #d,-,18,2515,2367,1148,393,2,241094,14947,2517,2369,1154,2515,2366,1148,90,99,0,501,2770;
@400000005e4b974a2359d609 #d,-,18,2512,2366,1149,393,2,240946,14938,2515,2368,1152,2512,2366,1145,90,99,0,501,2763;
@400000005e4b974c23692f49 #d,-,18,2508,2365,1147,394,2,240798,14929,2512,2368,1149,2508,2365,1144,90,99,0,501,2758;
@400000005e4b974c23727e8a #d,-,18,2505,2366,1143,395,2,240707,14923,2508,2368,1148,2505,2365,1139,91,99,0,501,2751;
@400000005e4b974e2382a2d1 #d,-,18,2502,2367,1144,396,2,240503,14911,2505,2368,1148,2502,2366,1143,90,99,0,501,2751;
@400000005e4b974e238bd622 #d,-,18,2499,2367,1145,396,2,240357,14902,2502,2368,1148,2499,2365,1141,90,99,0,501,2753;
@400000005e4b9750239aee31 #d,-,18,2496,2367,1146,397,2,240212,14893,2499,2367,1148,2496,2365,1144,90,99,0,501,2753;
@400000005e4b975023a496da #d,-,18,2495,2367,1146,398,2,240068,14884,2496,2367,1149,2495,2365,1145,90,99,0,501,2756;
@400000005e4b975223b4851d #d,-,18,2493,2367,1146,398,2,239979,14878,2495,2367,1148,2493,2364,1143,90,99,0,501,2753;
@400000005e4b975223bddae3 #d,-,18,2491,2364,1142,399,2,239778,14866,2493,2367,1146,2491,2364,1138,90,99,0,501,2749;
@400000005e4b975423cdf3fd #d,-,18,2488,2364,1144,400,2,239634,14857,2491,2366,1144,2488,2363,1140,90,99,0,501,2742;
@400000005e4b975423d73369 #d,-,18,2486,2365,1144,400,2,239491,14848,2488,2365,1145,2486,2363,1143,90,99,0,501,2746;
@400000005e4b975623e65a5e #d,-,18,2485,2365,1144,401,2,239349,14839,2486,2365,1146,2485,2363,1142,90,99,0,501,2746;
@400000005e4b975623f0266c #d,-,18,2483,2363,1142,401,2,239206,14830,2485,2365,1144,2483,2363,1137,90,99,0,501,2746;
@400000005e4b975823fff8be #d,-,18,2480,2362,1132,402,2,239116,14825,2483,2365,1142,2480,2362,1131,90,99,0,501,2732;
@400000005e4b975824094f73 #d,-,18,2476,2365,1130,403,2,238915,14812,2480,2365,1133,2476,2362,1128,91,99,0,501,2720;
@400000005e4b975a24191a52 #d,-,18,2472,2365,1131,404,2,238769,14803,2476,2365,1132,2472,2363,1128,91,99,0,501,2715;
@400000005e4b975a2422524a #d,-,18,2468,2365,1131,404,2,238624,14794,2472,2365,1135,2468,2362,1128,90,99,0,501,2715;
@400000005e4b975c2431dec3 #d,-,18,2464,2364,1129,405,2,238480,14785,2468,2365,1132,2464,2364,1128,90,99,0,501,2715;
@400000005e4b975c243b4907 #d,-,18,2461,2364,1129,406,2,238336,14776,2464,2365,1133,2461,2363,1128,90,99,0,501,2713;
@400000005e4b975e244b7108 #d,-,18,2458,2363,1131,406,2,238246,14771,2461,2366,1132,2458,2362,1127,90,99,0,501,2713;
@400000005e4b975e2454db4b #d,-,18,2455,2364,1129,407,2,238050,14759,2458,2365,1131,2455,2362,1128,90,99,0,501,2713;
@400000005e4b97602465279e #d,-,18,2453,2363,1130,408,2,237907,14750,2455,2365,1131,2453,2363,1127,90,99,0,501,2713;
@400000005e4b9760246e7237 #d,-,18,2450,2364,1129,408,2,237765,14741,2453,2365,1132,2450,2363,1127,90,99,0,501,2711;
@400000005e4b9762247ddff4 #d,-,18,2448,2367,1128,409,2,237624,14732,2450,2367,1131,2448,2363,1128,90,99,0,501,2711;
@400000005e4b976224873a62 #d,-,18,2447,2366,1126,410,2,237536,14727,2448,2367,1131,2447,2365,1123,90,99,0,501,2713;
@400000005e4b97642497537d #d,-,18,2444,2366,1125,410,2,237342,14715,2447,2366,1127,2444,2363,1121,90,99,0,501,2704;
@400000005e4b976424a08a87 #d,-,18,2441,2366,1127,411,2,237202,14706,2444,2366,1128,2441,2364,1123,90,99,0,501,2699;
@400000005e4b976624aff39c #d,-,18,2440,2365,1126,412,2,237061,14697,2441,2366,1129,2440,2364,1124,90,99,0,501,2706;
@400000005e4b976624b9afd4 #d,-,18,2439,2365,1127,412,2,236923,14689,2440,2367,1130,2439,2364,1124,90,99,0,501,2708;
@400000005e4b976824c8da83 #d,-,18,2437,2366,1125,413,2,236784,14680,2439,2367,1128,2437,2364,1122,90,99,0,501,2706;
@400000005e4b976824d244c7 #d,-,18,2438,2364,1456,414,2,236737,14677,2438,2367,1605,2437,2362,1124,90,99,0,501,2706;
@400000005e4b976a24e27170 #d,-,18,3503,2363,1611,415,2,236793,14681,3503,2365,1646,2438,2363,1454,97,99,0,501,3597;
@400000005e4b976a24ebb0dc #d,-,18,3691,2363,1651,416,2,236854,14685,3691,2365,1651,3503,2363,1566,95,99,0,501,3872;
@400000005e4b976c24fb44c8 #d,-,18,3639,2365,1600,417,2,236912,14688,3691,2365,1658,3639,2363,1541,94,99,0,501,3832;
@400000005e4b976c2504f5d3 #d,-,18,3713,2364,1654,418,2,236971,14692,3713,2365,1654,3639,2362,1545,95,99,0,501,3879;
@400000005e4b976e25148606 #d,-,18,3635,2364,1619,419,2,237031,14695,3713,2365,1672,3635,2362,1530,94,99,0,501,3837;
@400000005e4b976e251dfb76 #d,-,18,3639,2365,1515,420,2,237077,14698,3639,2365,1694,3635,2363,1492,95,99,0,501,3818;
@400000005e4b9770252dab53 #d,-,18,3644,2365,1694,421,2,237139,14702,3644,2366,1694,3639,2363,1491,94,99,0,501,3874;
@400000005e4b977025370207 #d,-,18,3638,2365,1616,422,2,237196,14706,3644,2365,1698,3638,2363,1486,95,99,0,501,3810;
@400000005e4b97722545e235 #d,-,18,3689,2363,1534,423,2,237295,14712,3689,2366,1686,3638,2363,1504,96,99,0,501,3829;
@400000005e4b9772254f4c78 #d,-,18,3689,2363,1643,424,2,237312,14713,3689,2366,1689,3689,2363,1534,95,99,0,501,3882;
@400000005e4b9774255fa8a1 #d,-,18,3686,2365,1606,425,2,237370,14716,3689,2366,1667,3686,2363,1550,95,99,0,501,3848;
@400000005e4b977425690e3c #d,-,18,3745,2364,1676,426,2,237435,14721,3745,2367,1676,3686,2364,1566,95,99,0,501,3912;
@400000005e4b9776257864b1 #d,-,18,3687,2364,1601,427,2,237499,14724,3745,2366,1676,3687,2363,1580,95,99,0,501,3877;
@400000005e4b97762581a7d6 #d,-,18,3755,2363,1649,428,2,237617,14732,3755,2365,1671,3687,2362,1589,95,99,0,501,3915;
@400000005e4b977825911c18 #d,-,18,3749,2364,1621,429,2,237630,14733,3755,2365,1678,3749,2362,1574,96,99,0,501,3905;
@400000005e4b9778259b16b6 #d,-,18,3747,2364,1613,430,2,237685,14736,3749,2366,1684,3747,2363,1525,96,99,0,501,3891;
@400000005e4b977a25aad2af #d,-,18,3741,2366,1648,431,2,237752,14740,3747,2366,1695,3741,2363,1566,96,99,0,501,3896;
@400000005e4b977a25b42d1d #d,-,18,3739,2366,1643,432,2,237817,14744,3741,2366,1659,3739,2365,1609,96,99,0,501,3886;
@400000005e4b977c25c29438 #d,-,18,3742,2366,1653,433,2,237936,14752,3742,2367,1659,3739,2365,1627,94,99,0,501,3941;
@400000005e4b977c25cc6c61 #d,-,18,3743,2366,1643,434,2,237953,14753,3743,2366,1653,3742,2363,1639,95,99,0,501,3931;
@400000005e4b977e25dc3eb3 #d,-,18,3746,2365,1646,435,2,238022,14757,3746,2367,1652,3743,2364,1638,95,99,0,501,3936;
@400000005e4b977e25e5a183 #d,-,18,3747,2365,1642,436,2,238088,14761,3747,2366,1650,3746,2364,1639,95,99,0,501,3934;
@400000005e4b978025f5259a #d,-,18,3749,2366,1651,437,2,238156,14765,3749,2367,1651,3747,2365,1639,95,99,0,501,3936;
@400000005e4b978025fe5d93 #d,-,18,3749,2367,1647,439,2,238222,14769,3749,2368,1658,3749,2366,1622,95,99,0,501,3927;
@400000005e4b9782260d6c52 #d,-,18,3752,2367,1649,440,2,238291,14774,3752,2369,1658,3749,2366,1640,95,99,0,501,3948;
@400000005e4b978226174834 #d,-,18,3755,2367,1617,441,2,238354,14777,3755,2368,1663,3752,2365,1577,95,99,0,501,3948;
@400000005e4b9784262759db #d,-,18,3754,2368,1650,442,2,238424,14782,3755,2368,1684,3754,2366,1617,95,99,0,501,3931;
@400000005e4b97842630b449 #d,-,18,3756,2368,1653,443,2,238491,14786,3756,2368,1661,3754,2366,1628,95,99,0,501,3938;
@400000005e4b97862640580a #d,-,18,3758,2368,1701,444,2,238551,14790,3758,2368,1722,3756,2366,1489,95,99,0,501,3950;
@400000005e4b97862649b632 #d,-,18,3752,2368,1640,445,2,238615,14794,3758,2368,1701,3752,2366,1616,96,99,0,501,3889;
@400000005e4b97882658e0e1 #d,-,18,3754,2367,1654,446,2,238730,14801,3754,2369,1654,3752,2365,1633,95,99,0,501,3946;
@400000005e4b9788266285d1 #d,-,18,3663,2367,1610,447,2,238735,14801,3754,2368,1721,3663,2365,1477,94,99,0,501,3874;
@400000005e4b978a26720e90 #d,-,18,3787,2367,1653,448,2,238798,14805,3787,2368,1659,3663,2366,1607,96,99,0,501,3934;
@400000005e4b978a267b78d4 #d,-,18,3781,2367,1640,449,2,238862,14809,3787,2368,1659,3781,2366,1618,96,99,0,501,3929;
@400000005e4b978c268bd40e #d,-,18,3779,2366,1651,450,2,238925,14813,3781,2368,1656,3779,2366,1628,96,99,0,501,3931;
@400000005e4b978c26958c8c #d,-,18,3775,2366,1644,451,2,239038,14820,3779,2368,1661,3775,2365,1616,95,99,0,501,3934;
@400000005e4b978e26a5d7f1 #d,-,18,3774,2366,1652,452,2,239052,14821,3775,2368,1659,3774,2365,1623,96,99,0,501,3927;
@400000005e4b978e26b00d3b #d,-,18,3772,2368,1651,453,2,239115,14825,3774,2368,1655,3772,2366,1639,95,99,0,501,3943;
@400000005e4b979026c097f5 #d,-,18,3771,2366,1656,454,2,239177,14829,3772,2368,1656,3771,2364,1617,95,99,0,501,3936;
@400000005e4b979026cab9b0 #d,-,18,3770,2366,1652,455,2,239243,14833,3771,2366,1669,3770,2364,1640,95,99,0,501,3941;
@400000005e4b979226db66df #d,-,18,3770,2366,1655,456,2,239305,14836,3770,2367,1660,3770,2365,1628,95,99,0,501,3938;
@400000005e4b979226e5bbd4 #d,-,18,3769,2367,1651,457,2,239417,14843,3770,2367,1663,3769,2364,1637,95,99,0,501,3948;
@400000005e4b979426f684f3 #d,-,18,3770,2367,1652,458,2,239433,14844,3770,2367,1656,3769,2364,1643,95,99,0,501,3943;
@400000005e4b97942700dcb3 #d,-,18,3770,2366,1651,459,2,239496,14848,3770,2367,1658,3770,2364,1641,95,99,0,501,3946;
@400000005e4b979627120029 #d,-,18,3770,2367,1656,460,2,239558,14852,3770,2367,1660,3770,2365,1630,95,99,0,501,3946;
@400000005e4b9796271d4eb6 #d,-,18,3769,2367,1645,461,2,239620,14856,3770,2367,1667,3769,2365,1635,95,99,0,501,3946;
@400000005e4b9796272577ab #d,-,18,3768,2366,1650,463,2,239679,14860,3769,2367,1658,3768,2364,1619,95,99,0,501,3934;
@400000005e4b9798273508cc #d,-,18,3766,2366,1649,464,2,239741,14863,3768,2367,1663,3766,2364,1626,95,99,0,501,3931;
@400000005e4b9798273e4fab #d,-,18,3766,2365,1655,465,2,239801,14867,3766,2367,1658,3766,2365,1629,95,99,0,501,3934;
@400000005e4b979a274e0342 #d,-,18,3766,2364,1650,466,2,239862,14871,3766,2365,1664,3766,2363,1627,95,99,0,501,3946;
@400000005e4b979a2757d6c3 #d,-,18,3765,2363,1642,467,2,239967,14878,3766,2365,1665,3765,2363,1613,95,99,0,501,3931;
@400000005e4b979c27677e3e #d,-,18,3764,2364,1651,468,2,240029,14881,3765,2365,1665,3764,2362,1634,95,99,0,501,3934;
@400000005e4b979c2770dd54 #d,-,18,3765,2363,1651,469,2,240042,14882,3765,2365,1658,3764,2361,1641,95,99,0,501,3941;
@400000005e4b979e2780c6ef #d,-,18,3766,2364,1656,470,2,240104,14886,3766,2364,1662,3765,2362,1645,95,99,0,501,3948;
@400000005e4b979e278a19ea #d,-,18,3766,2362,1650,471,2,240164,14890,3766,2364,1659,3766,2362,1642,95,99,0,501,3946;
@400000005e4b97a02799a663 #d,-,18,3767,2362,1656,472,2,240224,14893,3767,2364,1662,3766,2362,1631,95,99,0,501,3948;
@400000005e4b97a027a35a39 #d,-,18,3767,2364,1653,473,2,240330,14900,3767,2365,1668,3767,2362,1623,95,99,0,501,3931;
@400000005e4b97a227b329c0 #d,-,18,3767,2365,1652,474,2,240343,14901,3767,2366,1662,3767,2362,1622,95,99,0,501,3950;
@400000005e4b97a227bcab4c #d,-,18,3766,2365,1651,475,2,240401,14904,3767,2365,1664,3766,2363,1626,95,99,0,501,3929;
@400000005e4b97a427ccf6b1 #d,-,18,3766,2365,1650,476,2,240461,14908,3766,2365,1658,3766,2363,1641,95,99,0,501,3948;
@400000005e4b97a427d64d65 #d,-,18,3768,2352,1669,477,2,240520,14912,3768,2365,1669,3766,2351,1646,95,99,0,501,3948;
@400000005e4b97a627e59f32 #d,-,18,3768,2363,1649,478,2,240579,14915,3768,2365,1669,3768,2351,1630,95,99,0,501,3948;
@400000005e4b97a627ef4c83 #d,-,18,3768,2361,1658,479,2,240636,14919,3768,2364,1671,3768,2359,1625,95,99,0,501,3931;
@400000005e4b97a827fef045 #d,-,18,3768,2363,1652,480,2,240695,14923,3768,2364,1661,3768,2361,1645,95,99,0,501,3948;
@400000005e4b97a828084e6d #d,-,18,3769,2364,1661,481,2,240755,14926,3769,2364,1661,3768,2362,1646,95,99,0,501,3946;
@400000005e4b97aa28188289 #d,-,18,3770,2363,1660,482,2,240814,14930,3770,2364,1677,3769,2361,1632,95,99,0,501,3957;
@400000005e4b97aa2821ce10 #d,-,18,3772,2363,1660,483,3,240873,14934,3772,2363,1665,3770,2361,1646,95,99,0,501,3955;
@400000005e4b97ac28316e18 #d,-,18,3774,2363,1659,484,3,240934,14937,3774,2364,1668,3772,2361,1652,95,99,0,501,3957;
@400000005e4b97ac283b1e35 #d,-,18,3775,2361,1663,486,3,241038,14944,3775,2364,1671,3774,2360,1632,95,99,0,501,3955;
@400000005e4b97ae284ae1a1 #d,-,18,3776,2363,1657,487,3,241052,14945,3776,2364,1668,3775,2361,1649,95,99,0,501,3962;
@400000005e4b97ae28542ff3 #d,-,18,3777,2362,1664,488,3,241110,14948,3777,2365,1673,3776,2362,1627,95,99,0,501,3953;
@400000005e4b97b02863d3b5 #d,-,18,3777,2362,1658,489,3,241168,14952,3777,2364,1669,3777,2362,1639,95,99,0,501,3960;
@400000005e4b97b0286d16db #d,-,18,3779,2362,1662,490,3,241227,14956,3779,2364,1668,3777,2362,1649,95,99,0,501,3960;
@400000005e4b97b2287cbb8a #d,-,18,3779,2360,1652,491,3,241330,14962,3779,2364,1671,3779,2360,1629,95,99,0,501,3962;
@400000005e4b97b228861151 #d,-,18,3780,2360,1667,492,3,241342,14963,3780,2363,1673,3779,2360,1635,95,99,0,501,3948;
@400000005e4b97b4289632cc #d,-,18,3780,2362,1656,493,3,241400,14966,3780,2363,1667,3780,2359,1652,95,99,0,501,3962;
@400000005e4b97b4289f94ae #d,-,18,3781,2361,1665,494,3,241457,14970,3781,2363,1676,3780,2361,1636,95,99,0,501,3955;
@400000005e4b97b628af7b7e #d,-,18,3781,2361,1659,495,3,241515,14973,3781,2363,1666,3781,2361,1649,95,99,0,501,3962;
@400000005e4b97b628b8cd8a #d,-,18,3782,2361,1664,496,3,241571,14977,3782,2363,1665,3781,2360,1635,95,99,0,501,3960;
@400000005e4b97b828c8e2eb #d,-,18,3782,2363,1657,497,3,241673,14983,3782,2364,1672,3782,2361,1639,95,99,0,501,3953;
@400000005e4b97b828d235e5 #d,-,18,3783,2362,1659,498,3,241685,14984,3783,2364,1664,3782,2362,1651,95,99,0,501,3962;
@400000005e4b97ba28e237b7 #d,-,18,3782,2363,1657,499,3,241741,14987,3783,2364,1673,3782,2362,1637,95,99,0,501,3957;
@400000005e4b97ba28eb9999 #d,-,18,3783,2361,1659,500,3,241797,14991,3783,2364,1665,3782,2361,1647,95,99,0,501,3960;
@400000005e4b97bc28fa91fd #d,-,18,3783,2360,1658,501,3,241898,14997,3783,2363,1666,3783,2360,1651,95,99,0,501,3960;
@400000005e4b97bc2903fffa #d,-,18,3784,2359,1662,502,3,241909,14998,3784,2361,1671,3783,2356,1651,95,99,0,501,3960;
@400000005e4b97be29140cf9 #d,-,18,3784,2361,1644,503,3,241965,15001,3784,2361,1668,3784,2358,1644,95,99,0,501,3960;
@400000005e4b97be291d8711 #d,-,18,3784,2361,1667,504,3,242019,15005,3784,2361,1673,3784,2359,1630,95,99,0,501,3950;
@400000005e4b97c0292d2719 #d,-,18,3783,2361,1645,505,3,242073,15008,3784,2361,1667,3783,2358,1645,95,99,0,501,3955;
@400000005e4b97c029365e23 #d,-,18,3782,2360,1664,506,3,242126,15011,3783,2361,1669,3782,2359,1631,95,99,0,501,3948;
@400000005e4b97c229460e00 #d,-,18,3780,2360,1651,507,3,242179,15015,3782,2360,1668,3780,2358,1638,95,99,0,501,3938;
@400000005e4b97c2294fe9e3 #d,-,18,3780,2358,1663,508,3,242231,15018,3780,2360,1670,3780,2357,1631,95,99,0,501,3948;
@400000005e4b97c4296006b6 #d,-,18,3777,2358,1653,510,3,242285,15021,3780,2359,1674,3777,2358,1638,95,99,0,501,3943;
@400000005e4b97c4296970fa #d,-,18,3778,2360,1656,511,3,242337,15024,3778,2362,1670,3777,2358,1631,95,99,0,501,3948;
@400000005e4b97c6297920d7 #d,-,18,3777,2362,1656,512,3,242389,15028,3778,2362,1669,3777,2359,1632,95,99,0,501,3948;
@400000005e4b97c62982769d #d,-,18,3777,2363,1657,513,3,242486,15034,3777,2363,1665,3777,2361,1636,95,99,0,501,3943;
@400000005e4b97c829917ed6 #d,-,18,3776,2363,1657,514,3,242495,15034,3777,2364,1675,3776,2361,1629,95,99,0,501,3953;
@400000005e4b97c8299ac96f #d,-,18,3776,2366,985,515,3,242492,15034,3776,2366,1668,3776,2361,985,95,99,0,501,3941;
@400000005e4b97ca29a836f2 #d,-,18,2832,2365,1158,515,3,242381,15027,3776,2366,1240,2832,2363,973,88,99,0,501,3204;
@400000005e4b97ca29b0b684 #d,-,18,2499,2366,1160,516,3,242268,15020,2832,2366,1161,2499,2364,1148,90,99,0,501,2770;
@400000005e4b97cc29be1078 #d,-,18,2500,2365,1153,517,3,242156,15013,2500,2366,1161,2499,2363,1153,90,99,0,501,2777;
@400000005e4b97cc29c6f1d4 #d,-,18,2501,2365,1160,517,3,242044,15006,2501,2366,1160,2500,2363,1150,90,99,0,501,2777;
@400000005e4b97ce29d47b48 #d,-,18,2501,2366,1149,518,3,241930,14999,2501,2367,1161,2501,2363,1148,90,99,0,501,2775;
@400000005e4b97ce29dcf720 #d,-,18,2500,2366,1150,519,3,241816,14992,2501,2366,1155,2500,2364,1143,90,99,0,501,2765;
@400000005e4b97d029e9fb65 #d,-,18,2498,2367,1148,519,3,241702,14985,2500,2367,1152,2498,2364,1144,90,99,0,501,2753;
@400000005e4b97d029f2ccec #d,-,18,2496,2366,1149,520,3,241633,14981,2498,2367,1152,2496,2364,1144,90,99,0,501,2758;
@400000005e4b97d22a0088aa #d,-,18,2495,2367,1138,521,3,241475,14971,2496,2367,1149,2495,2365,1133,90,99,0,501,2753;
@400000005e4b97d22a090482 #d,-,18,2491,2367,1143,522,3,241360,14964,2495,2368,1146,2491,2365,1138,90,99,0,501,2744;
@400000005e4b97d42a165e76 #d,-,18,2489,2367,1145,522,3,241247,14957,2491,2367,1150,2489,2366,1140,90,99,0,501,2744;
@400000005e4b97d42a1ef90a #d,-,18,2488,2365,1138,523,3,241133,14950,2489,2367,1147,2488,2365,1137,90,99,0,501,2751;
@400000005e4b97d62a2ca4f3 #d,-,18,2484,2364,1137,524,3,241062,14945,2488,2367,1142,2484,2364,1133,90,99,0,501,2739;
@400000005e4b97d62a357b22 #d,-,18,2482,2365,1142,524,3,240905,14936,2484,2366,1143,2482,2364,1136,90,99,0,501,2732;
@400000005e4b97d82a42ba14 #d,-,18,2479,2364,1135,525,3,240792,14929,2482,2366,1143,2479,2364,1135,90,99,0,501,2737;
@400000005e4b97d82a4b5d0a #d,-,18,2477,2365,1138,526,3,240678,14922,2479,2366,1141,2477,2364,1128,90,99,0,501,2734;
@400000005e4b97da2a58aae3 #d,-,18,2473,2367,1132,526,3,240563,14914,2477,2368,1138,2473,2364,1129,90,99,0,501,2725;
@400000005e4b97da2a61a741 #d,-,18,2471,2368,1138,527,3,240493,14910,2473,2368,1139,2471,2366,1132,90,99,0,501,2727;
@400000005e4b97dc2a6f20df #d,-,18,2469,2366,1130,528,3,240380,14903,2471,2368,1142,2469,2363,1130,90,99,0,501,2730;
@400000005e4b97dc2a77a42a #d,-,18,2467,2368,1135,528,3,240224,14893,2469,2368,1137,2467,2365,1123,90,99,0,501,2727;
@400000005e4b97de2a85253c #d,-,18,2463,2365,1133,529,3,240110,14886,2467,2368,1136,2463,2365,1126,90,99,0,501,2715;
@400000005e4b97de2a8e166d #d,-,18,2461,2366,1129,530,3,239997,14879,2463,2367,1137,2461,2364,1127,90,99,0,501,2720;
@400000005e4b97e02a9bbe9c #d,-,18,2459,2366,1129,530,3,239885,14872,2461,2367,1137,2459,2365,1128,90,99,0,501,2720;
@400000005e4b97e02aa451bd #d,-,18,2457,2364,1131,531,3,239772,14865,2459,2367,1138,2457,2364,1128,90,99,0,501,2723;
@400000005e4b97e22ab1b413 #d,-,18,2455,2366,1132,532,3,239660,14858,2457,2366,1134,2455,2363,1126,90,99,0,501,2720;
